# Machine: Apple M4 Max (Mac16,6)
# macOS: 26.4
# Go: go1.26.2
# Swift: release (SwiftUIBridge)
# go test -run=xxx -bench=Bench -benchmem -count=10 -benchtime=2s .
# Post-P1 state: withCStringPooled (sync.Pool scratch) + gostringFast (one-pass inbound)
#
goos: darwin
goarch: arm64
pkg: github.com/tmc/swiftui
cpu: Apple M4 Max
BenchmarkStringStateSet/short_new-16      	 8469009	       308.7 ns/op	      56 B/op	       2 allocs/op
BenchmarkStringStateSet/short_new-16      	 7440268	       338.1 ns/op	      56 B/op	       2 allocs/op
BenchmarkStringStateSet/short_new-16      	 7308111	       317.6 ns/op	      56 B/op	       2 allocs/op
BenchmarkStringStateSet/short_new-16      	 7403527	       336.7 ns/op	      56 B/op	       2 allocs/op
BenchmarkStringStateSet/short_new-16      	 8812341	       276.2 ns/op	      56 B/op	       2 allocs/op
BenchmarkStringStateSet/short_new-16      	 8353192	       300.2 ns/op	      56 B/op	       2 allocs/op
BenchmarkStringStateSet/short_new-16      	 7478314	       329.5 ns/op	      56 B/op	       2 allocs/op
BenchmarkStringStateSet/short_new-16      	 7656136	       323.6 ns/op	      56 B/op	       2 allocs/op
BenchmarkStringStateSet/short_new-16      	 8055643	       317.8 ns/op	      56 B/op	       2 allocs/op
BenchmarkStringStateSet/short_new-16      	 8767849	       317.0 ns/op	      56 B/op	       2 allocs/op
BenchmarkStringStateSet/short_same-16     	 7562608	       274.5 ns/op	      56 B/op	       2 allocs/op
BenchmarkStringStateSet/short_same-16     	 7860190	       261.9 ns/op	      56 B/op	       2 allocs/op
BenchmarkStringStateSet/short_same-16     	10632265	       250.0 ns/op	      56 B/op	       2 allocs/op
BenchmarkStringStateSet/short_same-16     	 9431866	       281.5 ns/op	      56 B/op	       2 allocs/op
BenchmarkStringStateSet/short_same-16     	 8439603	       265.8 ns/op	      56 B/op	       2 allocs/op
BenchmarkStringStateSet/short_same-16     	11295465	       261.1 ns/op	      56 B/op	       2 allocs/op
BenchmarkStringStateSet/short_same-16     	 8875513	       275.0 ns/op	      56 B/op	       2 allocs/op
BenchmarkStringStateSet/short_same-16     	12296188	       255.2 ns/op	      56 B/op	       2 allocs/op
BenchmarkStringStateSet/short_same-16     	 7572957	       289.4 ns/op	      56 B/op	       2 allocs/op
BenchmarkStringStateSet/short_same-16     	 9197656	       243.5 ns/op	      56 B/op	       2 allocs/op
BenchmarkStringStateSet/long_new-16       	 5499880	       453.5 ns/op	      56 B/op	       2 allocs/op
BenchmarkStringStateSet/long_new-16       	 5678154	       465.6 ns/op	      56 B/op	       2 allocs/op
BenchmarkStringStateSet/long_new-16       	 5384629	       416.7 ns/op	      56 B/op	       2 allocs/op
BenchmarkStringStateSet/long_new-16       	 4804724	       429.6 ns/op	      56 B/op	       2 allocs/op
BenchmarkStringStateSet/long_new-16       	 6223578	       448.6 ns/op	      56 B/op	       2 allocs/op
BenchmarkStringStateSet/long_new-16       	 5660802	       412.9 ns/op	      56 B/op	       2 allocs/op
BenchmarkStringStateSet/long_new-16       	 5254508	       418.5 ns/op	      56 B/op	       2 allocs/op
BenchmarkStringStateSet/long_new-16       	 5506628	       451.1 ns/op	      56 B/op	       2 allocs/op
BenchmarkStringStateSet/long_new-16       	 5303680	       425.2 ns/op	      56 B/op	       2 allocs/op
BenchmarkStringStateSet/long_new-16       	 6406144	       457.3 ns/op	      56 B/op	       2 allocs/op
BenchmarkStringStateGet/short-16          	 7540226	       337.3 ns/op	      48 B/op	       4 allocs/op
BenchmarkStringStateGet/short-16          	 7169239	       351.0 ns/op	      48 B/op	       4 allocs/op
BenchmarkStringStateGet/short-16          	 7710998	       346.1 ns/op	      48 B/op	       4 allocs/op
