# Machine: Apple M4 Max (Mac16,6)
# macOS: 26.4
# Go: go1.26.2
# Swift: release (SwiftUIBridge)
# go test -run=xxx -bench=Bench -benchmem -count=10 -benchtime=2s .
# Pre-P1 state: unpooled withCString + append-growth cString/cStringToGoString
#
goos: darwin
goarch: arm64
pkg: github.com/tmc/swiftui
cpu: Apple M4 Max
BenchmarkStringStateSet/short_new-16      	 7176704	       407.5 ns/op	      80 B/op	       4 allocs/op
BenchmarkStringStateSet/short_new-16      	 4758492	       460.6 ns/op	      80 B/op	       4 allocs/op
BenchmarkStringStateSet/short_new-16      	 7801450	       370.8 ns/op	      80 B/op	       4 allocs/op
BenchmarkStringStateSet/short_new-16      	 5726652	       432.1 ns/op	      80 B/op	       4 allocs/op
BenchmarkStringStateSet/short_new-16      	 6497389	       373.4 ns/op	      80 B/op	       4 allocs/op
BenchmarkStringStateSet/short_new-16      	 5962215	       399.8 ns/op	      80 B/op	       4 allocs/op
BenchmarkStringStateSet/short_new-16      	 5568648	       485.2 ns/op	      80 B/op	       4 allocs/op
BenchmarkStringStateSet/short_new-16      	 4797411	       529.7 ns/op	      80 B/op	       4 allocs/op
BenchmarkStringStateSet/short_new-16      	 4409896	       462.7 ns/op	      80 B/op	       4 allocs/op
BenchmarkStringStateSet/short_new-16      	 6388465	       515.1 ns/op	      80 B/op	       4 allocs/op
BenchmarkStringStateSet/short_same-16     	 5234229	       410.6 ns/op	      80 B/op	       4 allocs/op
BenchmarkStringStateSet/short_same-16     	 6904506	       421.3 ns/op	      80 B/op	       4 allocs/op
BenchmarkStringStateSet/short_same-16     	 6999168	       421.0 ns/op	      80 B/op	       4 allocs/op
BenchmarkStringStateSet/short_same-16     	 5168308	       421.2 ns/op	      80 B/op	       4 allocs/op
BenchmarkStringStateSet/short_same-16     	 6910855	       417.5 ns/op	      80 B/op	       4 allocs/op
BenchmarkStringStateSet/short_same-16     	 6344930	       419.8 ns/op	      80 B/op	       4 allocs/op
BenchmarkStringStateSet/short_same-16     	 5891474	       442.2 ns/op	      80 B/op	       4 allocs/op
BenchmarkStringStateSet/short_same-16     	 5895240	       387.5 ns/op	      80 B/op	       4 allocs/op
BenchmarkStringStateSet/short_same-16     	 7094134	       432.5 ns/op	      80 B/op	       4 allocs/op
BenchmarkStringStateSet/short_same-16     	 7211965	       437.7 ns/op	      80 B/op	       4 allocs/op
BenchmarkStringStateSet/long_new-16       	 1665506	      1565 ns/op	    1208 B/op	       3 allocs/op
BenchmarkStringStateSet/long_new-16       	 1257451	      1857 ns/op	    1208 B/op	       3 allocs/op
BenchmarkStringStateSet/long_new-16       	 1341760	      2024 ns/op	    1208 B/op	       3 allocs/op
BenchmarkStringStateSet/long_new-16       	 1464228	      1572 ns/op	    1208 B/op	       3 allocs/op
BenchmarkStringStateSet/long_new-16       	 1684214	      1475 ns/op	    1208 B/op	       3 allocs/op
BenchmarkStringStateSet/long_new-16       	 1784892	      1443 ns/op	    1208 B/op	       3 allocs/op
BenchmarkStringStateSet/long_new-16       	 1954830	      1427 ns/op	    1208 B/op	       3 allocs/op
BenchmarkStringStateSet/long_new-16       	 1289589	      1838 ns/op	    1208 B/op	       3 allocs/op
BenchmarkStringStateSet/long_new-16       	 1384132	      1615 ns/op	    1208 B/op	       3 allocs/op
BenchmarkStringStateSet/long_new-16       	 1739839	      1644 ns/op	    1208 B/op	       3 allocs/op
BenchmarkStringStateGet/short-16          	 4895611	       558.1 ns/op	      48 B/op	       4 allocs/op
BenchmarkStringStateGet/short-16          	 5681025	       545.5 ns/op	      48 B/op	       4 allocs/op
BenchmarkStringStateGet/short-16          	 5674353	       582.6 ns/op	      48 B/op	       4 allocs/op
BenchmarkStringStateGet/short-16          	 4991780	       458.8 ns/op	      48 B/op	       4 allocs/op
BenchmarkStringStateGet/short-16          	 4600926	       602.9 ns/op	      48 B/op	       4 allocs/op
BenchmarkStringStateGet/short-16          	 4615140	       520.8 ns/op	      48 B/op	       4 allocs/op
BenchmarkStringStateGet/short-16          	 4137100	       529.1 ns/op	      48 B/op	       4 allocs/op
BenchmarkStringStateGet/short-16          	 4023625	       556.7 ns/op	      48 B/op	       4 allocs/op
BenchmarkStringStateGet/short-16          	 4835150	       531.1 ns/op	      48 B/op	       4 allocs/op
BenchmarkStringStateGet/short-16          	 4229505	       478.5 ns/op	      48 B/op	       4 allocs/op
BenchmarkStringStateGet/long-16           	  810555	      3555 ns/op	    4457 B/op	      10 allocs/op
BenchmarkStringStateGet/long-16           	  667062	      4698 ns/op	    4457 B/op	      10 allocs/op
BenchmarkStringStateGet/long-16           	  645490	      3371 ns/op	    4457 B/op	      10 allocs/op
BenchmarkStringStateGet/long-16           	  738414	      3546 ns/op	    4457 B/op	      10 allocs/op
BenchmarkStringStateGet/long-16           	  612225	      3927 ns/op	    4457 B/op	      10 allocs/op
BenchmarkStringStateGet/long-16           	  600235	      3814 ns/op	    4457 B/op	      10 allocs/op
BenchmarkStringStateGet/long-16           	 1000000	      3481 ns/op	    4457 B/op	      10 allocs/op
BenchmarkStringStateGet/long-16           	  846151	      2804 ns/op	    4457 B/op	      10 allocs/op
BenchmarkStringStateGet/long-16           	 1000000	      2817 ns/op	    4458 B/op	      10 allocs/op
BenchmarkStringStateGet/long-16           	  945982	      2587 ns/op	    4457 B/op	      10 allocs/op
BenchmarkWithCString/16-16                	100000000	        61.99 ns/op	      48 B/op	       2 allocs/op
BenchmarkWithCString/16-16                	32722112	        63.05 ns/op	      48 B/op	       2 allocs/op
BenchmarkWithCString/16-16                	31466055	        67.99 ns/op	      48 B/op	       2 allocs/op
BenchmarkWithCString/16-16                	31769862	        77.38 ns/op	      48 B/op	       2 allocs/op
BenchmarkWithCString/16-16                	27490720	        95.87 ns/op	      48 B/op	       2 allocs/op
BenchmarkWithCString/16-16                	37271565	        79.68 ns/op	      48 B/op	       2 allocs/op
BenchmarkWithCString/16-16                	31604209	        88.54 ns/op	      48 B/op	       2 allocs/op
BenchmarkWithCString/16-16                	38175014	        60.44 ns/op	      48 B/op	       2 allocs/op
BenchmarkWithCString/16-16                	54318406	        68.66 ns/op	      48 B/op	       2 allocs/op
BenchmarkWithCString/16-16                	42878722	        62.20 ns/op	      48 B/op	       2 allocs/op
BenchmarkWithCString/128-16               	14745901	       159.0 ns/op	     384 B/op	       2 allocs/op
BenchmarkWithCString/128-16               	17323270	       162.9 ns/op	     384 B/op	       2 allocs/op
BenchmarkWithCString/128-16               	12737014	       176.0 ns/op	     384 B/op	       2 allocs/op
