# Machine: Apple M4 Max (Mac16,6)
# macOS: 26.4
# Go: go1.26.2
# Swift: release (SwiftUIBridge)
# go test -run=xxx -bench='^(Bench...)$' -benchmem -count=10 -benchtime=2s .
# Pre-P2 state: no value caching; every Set/Get crosses the FFI boundary.
#
goos: darwin
goarch: arm64
pkg: github.com/tmc/swiftui
cpu: Apple M4 Max
BenchmarkStringStateSet/short_new-16  	 3866866	       555.8 ns/op	      56 B/op	       2 allocs/op
BenchmarkStringStateSet/short_new-16  	 5921341	       447.9 ns/op	      56 B/op	       2 allocs/op
BenchmarkStringStateSet/short_new-16  	 5302386	       498.1 ns/op	      56 B/op	       2 allocs/op
BenchmarkStringStateSet/short_new-16  	 4951896	       437.7 ns/op	      56 B/op	       2 allocs/op
BenchmarkStringStateSet/short_new-16  	 4840464	       440.3 ns/op	      56 B/op	       2 allocs/op
BenchmarkStringStateSet/short_new-16  	 4464360	       523.4 ns/op	      56 B/op	       2 allocs/op
BenchmarkStringStateSet/short_new-16  	 5218407	       482.0 ns/op	      56 B/op	       2 allocs/op
BenchmarkStringStateSet/short_new-16  	 5459686	       527.0 ns/op	      56 B/op	       2 allocs/op
BenchmarkStringStateSet/short_new-16  	 4706293	       487.7 ns/op	      56 B/op	       2 allocs/op
BenchmarkStringStateSet/short_new-16  	 5906520	       478.7 ns/op	      56 B/op	       2 allocs/op
BenchmarkStringStateSet/short_same-16 	 5779462	       373.2 ns/op	      56 B/op	       2 allocs/op
BenchmarkStringStateSet/short_same-16 	 6737106	       370.1 ns/op	      56 B/op	       2 allocs/op
BenchmarkStringStateSet/short_same-16 	 6798938	       423.8 ns/op	      56 B/op	       2 allocs/op
BenchmarkStringStateSet/short_same-16 	 6689247	       344.2 ns/op	      56 B/op	       2 allocs/op
BenchmarkStringStateSet/short_same-16 	 6219277	       413.2 ns/op	      56 B/op	       2 allocs/op
BenchmarkStringStateSet/short_same-16 	 6231482	       438.4 ns/op	      56 B/op	       2 allocs/op
BenchmarkStringStateSet/short_same-16 	 7101157	       404.8 ns/op	      56 B/op	       2 allocs/op
BenchmarkStringStateSet/short_same-16 	 7507800	       346.3 ns/op	      56 B/op	       2 allocs/op
BenchmarkStringStateSet/short_same-16 	 7848792	       364.1 ns/op	      56 B/op	       2 allocs/op
BenchmarkStringStateSet/short_same-16 	 8169369	       357.0 ns/op	      56 B/op	       2 allocs/op
BenchmarkStringStateSet/long_new-16   	 4124107	       557.5 ns/op	      56 B/op	       2 allocs/op
