# Machine: Apple M4 Max (Mac16,6)
# macOS: 26.4.1
# Go: go1.26.2
# Swift: release (SwiftUIBridge)
# go test -run=^$ -bench='^(BenchmarkTableModelSetRows|BenchmarkTableModelAppend|BenchmarkTableModelApplyDelta|BenchmarkOutlineModelSetRoots)$' -benchmem -count=10 -benchtime=2s .
# Pre-P5 state: TableModel.SetRows rebuilds the full slice on every call.
# ApplyDelta/Append/Insert/Remove are stubs that route through SetRows.
#
goos: darwin
goarch: arm64
pkg: github.com/tmc/swiftui
cpu: Apple M4 Max
BenchmarkTableModelSetRows/64-16    	  262046	      9976 ns/op	    4731 B/op	      12 allocs/op
BenchmarkTableModelSetRows/64-16    	  243931	     11497 ns/op	    4731 B/op	      12 allocs/op
BenchmarkTableModelSetRows/64-16    	  229788	      9360 ns/op	    4731 B/op	      12 allocs/op
BenchmarkTableModelSetRows/64-16    	  285436	      8829 ns/op	    4731 B/op	      12 allocs/op
BenchmarkTableModelSetRows/64-16    	  237278	      8582 ns/op	    4731 B/op	      12 allocs/op
BenchmarkTableModelSetRows/64-16    	  232514	      9476 ns/op	    4731 B/op	      12 allocs/op
BenchmarkTableModelSetRows/64-16    	  292149	      8266 ns/op	    4731 B/op	      12 allocs/op
BenchmarkTableModelSetRows/64-16    	  308660	      8427 ns/op	    4731 B/op	      12 allocs/op
BenchmarkTableModelSetRows/64-16    	  324490	     10209 ns/op	    4731 B/op	      12 allocs/op
BenchmarkTableModelSetRows/64-16    	  286653	      7918 ns/op	    4731 B/op	      12 allocs/op
BenchmarkTableModelSetRows/1024-16  	   14005	    151833 ns/op	   68397 B/op	      12 allocs/op
BenchmarkTableModelSetRows/1024-16  	   16003	    165822 ns/op	   68398 B/op	      12 allocs/op
BenchmarkTableModelSetRows/1024-16  	   15008	    180720 ns/op	   68396 B/op	      12 allocs/op
BenchmarkTableModelSetRows/1024-16  	   14515	    162834 ns/op	   68397 B/op	      12 allocs/op
BenchmarkTableModelSetRows/1024-16  	   15309	    143160 ns/op	   68397 B/op	      12 allocs/op
BenchmarkTableModelSetRows/1024-16  	   19216	    148848 ns/op	   68397 B/op	      12 allocs/op
BenchmarkTableModelSetRows/1024-16  	   16993	    158529 ns/op	   68397 B/op	      12 allocs/op
BenchmarkTableModelSetRows/1024-16  	   14166	    154858 ns/op	   68397 B/op	      12 allocs/op
BenchmarkTableModelSetRows/1024-16  	   16830	    157028 ns/op	   68397 B/op	      12 allocs/op
BenchmarkTableModelSetRows/1024-16  	   14962	    148363 ns/op	   68397 B/op	      12 allocs/op
BenchmarkTableModelSetRows/16384-16 	     921	   2770687 ns/op	 1046592 B/op	      43 allocs/op
BenchmarkTableModelSetRows/16384-16 	     925	   2588187 ns/op	 1047302 B/op	      43 allocs/op
BenchmarkTableModelSetRows/16384-16 	     854	   2955925 ns/op	 1047352 B/op	      43 allocs/op
BenchmarkTableModelSetRows/16384-16 	    1008	   2376023 ns/op	 1046640 B/op	      43 allocs/op
BenchmarkTableModelSetRows/16384-16 	    1036	   2351294 ns/op	 1047372 B/op	      43 allocs/op
BenchmarkTableModelSetRows/16384-16 	    1018	   2295095 ns/op	 1046576 B/op	      43 allocs/op
BenchmarkTableModelSetRows/16384-16 	    1033	   2308862 ns/op	 1046393 B/op	      43 allocs/op
BenchmarkTableModelSetRows/16384-16 	    1028	   2328751 ns/op	 1046383 B/op	      43 allocs/op
BenchmarkTableModelSetRows/16384-16 	    1036	   2326816 ns/op	 1046551 B/op	      43 allocs/op
BenchmarkTableModelSetRows/16384-16 	    1030	   2323179 ns/op	 1046632 B/op	      43 allocs/op
BenchmarkTableModelAppend/1024+20-SetRows-16         	  428882	      5928 ns/op	   54697 B/op	       8 allocs/op
BenchmarkTableModelAppend/1024+20-SetRows-16         	  414607	      6662 ns/op	   54697 B/op	       8 allocs/op
BenchmarkTableModelAppend/1024+20-SetRows-16         	  322651	     11122 ns/op	   54699 B/op	       8 allocs/op
BenchmarkTableModelAppend/1024+20-SetRows-16         	  369424	      6158 ns/op	   54697 B/op	       8 allocs/op
BenchmarkTableModelAppend/1024+20-SetRows-16         	  405871	      6892 ns/op	   54697 B/op	       8 allocs/op
BenchmarkTableModelAppend/1024+20-SetRows-16         	  121106	     19874 ns/op	   54698 B/op	       8 allocs/op
BenchmarkTableModelAppend/1024+20-SetRows-16         	  145959	     13922 ns/op	   54698 B/op	       8 allocs/op
BenchmarkTableModelAppend/1024+20-SetRows-16         	  305026	      8565 ns/op	   54697 B/op	       8 allocs/op
BenchmarkTableModelAppend/1024+20-SetRows-16         	  338580	      7466 ns/op	   54697 B/op	       8 allocs/op
BenchmarkTableModelAppend/1024+20-SetRows-16         	  292161	      7262 ns/op	   54697 B/op	       8 allocs/op
BenchmarkTableModelAppend/1024+20-Append-16          	  169572	     16126 ns/op	  136550 B/op	      11 allocs/op
BenchmarkTableModelAppend/1024+20-Append-16          	  168138	     16229 ns/op	  136548 B/op	      11 allocs/op
