# Machine: Apple M4 Max (Mac16,6)
# macOS: 26.4
# Go: go1.26.2
# Swift: release (SwiftUIBridge)
# a2ui tip: 414e025ed93df3ef320367f6d41ad20ede418078
# Date: 2026-04-16T23:34:13Z
# Command: GOWORK=off go test -run=xxx -bench=Bench -benchmem -count=10 -benchtime=2s .

goos: darwin
goarch: arm64
pkg: github.com/tmc/swiftui
cpu: Apple M4 Max
BenchmarkStringStateSet/short_new-16      	 9535606	       248.6 ns/op	      72 B/op	       3 allocs/op
BenchmarkStringStateSet/short_new-16      	 9692863	       253.2 ns/op	      72 B/op	       3 allocs/op
BenchmarkStringStateSet/short_new-16      	 9478934	       251.1 ns/op	      72 B/op	       3 allocs/op
BenchmarkStringStateSet/short_new-16      	 9495128	       260.3 ns/op	      72 B/op	       3 allocs/op
BenchmarkStringStateSet/short_new-16      	 8718589	       254.2 ns/op	      72 B/op	       3 allocs/op
BenchmarkStringStateSet/short_new-16      	 9508542	       252.0 ns/op	      72 B/op	       3 allocs/op
BenchmarkStringStateSet/short_new-16      	 9589107	       252.4 ns/op	      72 B/op	       3 allocs/op
BenchmarkStringStateSet/short_new-16      	 9456806	       250.2 ns/op	      72 B/op	       3 allocs/op
BenchmarkStringStateSet/short_new-16      	 9609560	       260.8 ns/op	      72 B/op	       3 allocs/op
BenchmarkStringStateSet/short_new-16      	 9477184	       255.7 ns/op	      72 B/op	       3 allocs/op
BenchmarkStringStateSet/short_same-16     	989131574	         2.351 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringStateSet/short_same-16     	1000000000	         2.358 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringStateSet/short_same-16     	1000000000	         2.377 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringStateSet/short_same-16     	991294849	         2.339 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringStateSet/short_same-16     	1000000000	         2.349 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringStateSet/short_same-16     	1000000000	         2.353 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringStateSet/short_same-16     	964084826	         2.405 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringStateSet/short_same-16     	979108944	         2.448 ns/op	       0 B/op	       0 allocs/op
